date,open,high,low,close,volume
2016-08-02,56.4322,56.4619,54.9471,55.4817,7068720
2016-08-03,55.4124,55.7391,55.1055,55.6302,7495709
2016-08-04,55.8976,56.9173,55.7886,56.6599,6817803
2016-08-05,57.3133,57.6499,57.0361,57.6202,9289735
2016-08-08,58.4123,58.5509,57.541,58.1548,7626603
2016-08-09,58.442,58.8677,58.1548,58.3033,9308559
2016-08-10,58.8182,58.9073,57.7427,57.9271,9393453
2016-08-11,58.234,59.3528,58.1152,59.1053,17026556
2016-08-12,61.2834,62.7486,60.026,62.412,35643642
2016-08-15,62.4813,62.8639,61.5113,62.3526,14332617
2016-08-16,62.2635,62.3625,61.7883,61.9764,7191345
2016-08-17,61.9764,62.115,60.0508,60.5408,14880304
2016-08-18,60.4517,61.5804,60.2141,61.4814,8292095
2016-08-19,61.4517,62.1051,61.1844,61.6398,7288978
2016-08-22,61.8279,61.9883,61.0962,61.8972,6118683
2016-08-23,62.527,62.8047,62.2195,62.398,8494058
2016-08-24,62.6163,62.646,61.1483,61.4359,7461244
2016-08-25,61.4558,61.4855,60.2655,61.0293,10150783
2016-08-26,61.188,61.8724,60.702,61.5252,7500624
2016-08-29,61.7732,62.0211,61.3814,61.4855,6866279
2016-08-30,61.4062,61.7361,60.9598,61.1285,7138622
2016-08-31,61.2475,61.4161,60.6623,60.8408,9713642
2016-09-01,60.8904,62.8642,60.8408,62.6361,10712305
2016-09-02,62.765,62.8345,61.3169,62.0211,8078742
2016-09-06,62.2394,62.6063,61.921,62.6063,7670320
2016-09-07,62.408,62.714,61.3268,61.6839,9949700
2016-09-08,61.6244,62.2294,60.9202,62.1302,7895219
2016-09-09,61.4459,61.793,58.5199,59.0356,17443966
2016-09-12,58.2521,60.3697,56.8486,60.2556,14956524
2016-09-13,60.1068,60.8011,59.0456,59.3828,11794183
2016-09-14,59.5216,60.1068,59.0257,59.9085,7984326
2016-09-15,60.0077,62.2493,59.8688,62.1798,12884799
2016-09-16,62.398,62.7353,61.6145,62.3286,22561149
2016-09-19,62.9832,64.7289,62.6956,63.1519,10428207
2016-09-20,63.8759,63.8759,62.2294,62.5766,8277832
2016-09-21,62.765,64.4512,62.7551,64.3322,8405337
2016-09-22,64.7091,64.9075,64.1239,64.4909,7718287
2016-09-23,64.5702,64.7587,64.1338,64.4214,6903344
2016-09-26,63.6875,64.0743,63.013,63.8164,5751035
2016-09-27,63.5684,66.0977,63.5387,65.9985,10068769
2016-09-28,66.0977,66.2861,65.3935,66.2366,7994701
2016-09-29,66.1274,67.0598,65.5139,66.8515,8417136
2016-09-30,67.2185,68.6269,66.8218,67.9624,10748304
2016-10-03,67.9624,68.9443,67.7749,67.893,6064853
2016-10-04,67.9922,69.1328,67.2383,67.7442,7040645
2016-10-05,68.3195,69.0138,67.4665,67.6748,7636009
2016-10-06,66.8614,67.278,65.7208,66.792,9005317
2016-10-07,67.2383,67.4169,66.1175,66.306,7156502
2016-10-10,66.6531,67.0102,65.9291,66.554,7196868
2016-10-11,66.3357,66.4349,65.086,65.5918,9713476
2016-10-12,65.324,66.2357,64.7785,65.8894,10498025
2016-10-13,65.1158,65.2645,63.1816,64.8182,9752910
2016-10-14,65.6117,66.058,65.0662,65.453,8265851
2016-10-17,65.4431,66.058,64.9868,65.0761,4883160
2016-10-18,65.9787,66.4448,65.7109,66.0679,6734274
2016-10-19,65.6216,66.2366,65.2844,65.9291,4976462
2016-10-20,66.7027,67.397,65.7605,67.1788,7802072
2016-10-21,66.9408,67.1094,66.3556,66.9904,6987654
2016-10-24,67.4466,70.2139,67.4367,70.1346,8495946
2016-10-25,70.0156,71.7116,69.6783,71.2851,9936532
2016-10-26,70.69,72.3563,70.6206,71.5728,8344781
2016-10-27,72.1183,72.2572,69.8122,70.1048,9716622
2016-10-28,70.4421,71.5133,69.8569,69.9858,7271374
2016-10-31,70.2139,71.0421,70.1742,70.5809,6309718
2016-11-01,70.8388,71.2256,67.7343,68.4881,11830629
2016-11-02,69.0138,69.9461,68.077,68.2004,7396231
2016-11-03,68.5178,68.5773,66.0977,67.407,7741593
2016-11-04,66.9606,68.1712,66.0332,67.0201,8219490
2016-11-07,68.984,71.1364,68.9344,70.69,12189524
2016-11-08,70.9578,71.1859,69.9263,70.5809,10747107
2016-11-09,68.6666,70.323,68.1608,69.3907,11413254
2016-11-10,70.9082,70.9181,66.2167,67.2185,21732039
2016-11-11,78.863,88.0476,77.8612,87.2541,54383633
2016-11-14,87.3731,87.4723,82.9395,82.9594,33719913
2016-11-15,83.6041,86.7383,83.247,85.4886,15652258
2016-11-16,86.6292,91.8018,85.6425,90.8843,24699644
2016-11-17,91.5588,94.0209,89.9123,91.6381,20824744
2016-11-18,91.7754,93.5624,91.0529,92.6003,14401499
2016-11-21,93.3243,93.5822,91.6481,92.2233,10910868
2016-11-22,92.5407,92.9768,91.6282,92.8879,8259232
2016-11-23,93.0965,94.6162,92.1528,93.3448,11080857
2016-11-25,93.7918,94.4673,92.7886,93.5336,4889078
2016-11-28,93.2455,94.1097,92.9773,93.4839,6968370
2016-11-29,93.3746,93.8117,91.9144,92.6296,11114187
2016-11-30,92.9773,93.5336,91.4873,91.5866,11012545
2016-12-01,91.4873,91.5568,84.206,87.057,25888074
2016-12-02,85.6762,88.2092,84.5537,87.8616,11957300
2016-12-05,89.3913,91.9939,88.4079,91.2687,15057125
2016-12-06,91.5965,93.1064,90.9608,92.7687,12469875
2016-12-07,92.2224,94.666,91.4873,94.4375,12020093
2016-12-08,94.5567,95.9772,92.434,92.8581,9538602
2016-12-09,93.5733,93.6428,90.1065,91.2091,9557799
2016-12-12,89.2522,89.3516,86.9576,88.994,15033300
2016-12-13,89.4907,91.676,89.4509,90.5635,9694874
2016-12-14,91.9244,96.4639,90.9608,95.8083,24599538
2016-12-15,96.2553,99.2751,95.9573,98.0533,18663653
2016-12-16,99.1659,100.0301,97.0759,99.742,27238183
2016-12-19,99.0367,101.7683,98.3414,100.9539,18616431
2016-12-20,103.8843,105.4239,103.4273,104.4703,21201433
2016-12-21,104.9372,105.2451,103.02,105.1259,14403361
2016-12-22,106.1093,108.1457,105.8213,106.3974,17965259
2016-12-23,105.6723,109.1043,105.563,109.0497,16192331
